country,suicides_per_100k
Russian Federation,11305.13
Lithuania,10588.88
Hungary,10156.07
Kazakhstan,9519.52
Republic of Korea,9350.45
Austria,9076.23
Ukraine,8931.66
Japan,8025.23
Finland,7924.11
Belgium,7900.5
Belarus,7831.13
France,7803.25
Latvia,7373.35
Suriname,7162.32
Bulgaria,7016.08
Slovenia,7012.62
Estonia,6873.78
Guyana,6655.92
Uruguay,6538.96
Singapore,6340.98
Luxembourg,6156.56
Cuba,6111.95
Croatia,5982.84
Czech Republic,5952.99
Sweden,5247.72
United States of America,5140.97
New Zealand,5008.32
Iceland,4889.74
Germany,4854.69
Switzerland,4794.07
Serbia,4787.45
Australia,4677.41
Sri Lanka,4658.96
Norway,4658.76
Trinidad and Tobago,4479.51
Mauritius,4464.58
Kyrgyzstan,4457.3
Poland,4397.62
Canada,4338.72
Romania,4171.55
Netherlands,4066.52
Chile,3921.64
Argentina,3894.59
Ireland,3881.73
Puerto Rico,3789.28
Denmark,3721.65
Portugal,3673.36
Spain,3509.06
Israel,3329.97
Slovakia,3318.16
Italy,3168.87
El Salvador,3035.94
Turkmenistan,2994.73
United Kingdom,2790.92
Costa Rica,2553.72
Saint Lucia,2420.12
Thailand,2362.67
Ecuador,2345.21
Brazil,2174.72
Uzbekistan,2138.17
Belize,2093.49
Colombia,2009.39
Malta,1872.01
Mexico,1751.19
Panama,1744.06
Saint Vincent and Grenadines,1726.63
Seychelles,1615.7
Aruba,1596.52
Greece,1512.12
Paraguay,1366.37
Montenegro,1194.03
Guatemala,1146.7
Georgia,1116.38
Armenia,976.21
Albania,924.76
Barbados,891.13
Kiribati,878.51
Fiji,673.86
Grenada,661
Cyprus,586.26
Nicaragua,472.82
Bahrain,467.24
Philippines,435.83
Azerbaijan,356.24
Kuwait,355.93
Bahamas,344.28
Qatar,318.15
South Africa,231.49
Turkey,199.17
Mongolia,184.39
Antigua and Barbuda,179.14
Macau,171.74
Maldives,164.08
San Marino,145.62
Cabo Verde,133.84
Bosnia and Herzegovina,110.81
Jamaica,106.44
United Arab Emirates,94.89
Oman,26.5
Saint Kitts and Nevis,0
Dominica,0
